,file_name,length,animal,label,reference
0,coyote_1.wav,3,coyote,1,Macaulay Library
1,coyote_4.wav,3,coyote,1,Macaulay Library
2,coyote_6.wav,3,coyote,1,Macaulay Library
3,coyote_7.wav,3,coyote,1,Macaulay Library
4,coyote_8.wav,3,coyote,1,Macaulay Library
5,coyote_9.wav,3,coyote,1,Macaulay Library
6,coyote_10.wav,3,coyote,1,Macaulay Library
7,coyote_11.wav,3,coyote,1,Macaulay Library
8,coyote_12.wav,3,coyote,1,Macaulay Library
9,coyote_13.wav,3,coyote,1,Macaulay Library
10,coyote_14.wav,3,coyote,1,Macaulay Library
11,coyote_15.wav,3,coyote,1,Macaulay Library
12,coyote_16.wav,3,coyote,1,Macaulay Library
13,coyote_17.wav,3,coyote,1,Macaulay Library
14,coyote_18.wav,3,coyote,1,Macaulay Library
15,coyote_20.wav,3,coyote,1,Macaulay Library
16,coyote_21.wav,3,coyote,1,Macaulay Library
17,coyote_23.wav,3,coyote,1,Macaulay Library
18,coyote_24.wav,3,coyote,1,Macaulay Library
19,coyote_25.wav,3,coyote,1,Macaulay Library
20,coyote_31.wav,3,coyote,1,Macaulay Library
21,coyote_33.wav,3,coyote,1,Macaulay Library
22,coyote_34.wav,3,coyote,1,Macaulay Library
23,coyote_36.wav,3,coyote,1,Macaulay Library
24,coyote_37.wav,3,coyote,1,Macaulay Library
25,coyote_39.wav,3,coyote,1,Macaulay Library
26,coyote_42.wav,3,coyote,1,Macaulay Library
27,coyote_43.wav,3,coyote,1,Macaulay Library
28,coyote_45.wav,3,coyote,1,Macaulay Library
29,coyote_46.wav,3,coyote,1,Macaulay Library
30,coyote_47.wav,3,coyote,1,Macaulay Library
31,coyote_49.wav,3,coyote,1,Macaulay Library
32,coyote_50.wav,3,coyote,1,Macaulay Library
33,coyote_52.wav,3,coyote,1,Macaulay Library
34,coyote_53.wav,3,coyote,1,Macaulay Library
35,coyote_57.wav,3,coyote,1,Macaulay Library
36,coyote_58.wav,3,coyote,1,Macaulay Library
37,coyote_63.wav,3,coyote,1,Macaulay Library
38,coyote_66.wav,3,coyote,1,Macaulay Library
39,coyote_69.wav,3,coyote,1,Macaulay Library
40,coyote_72.wav,3,coyote,1,Macaulay Library
41,coyote_73.wav,3,coyote,1,Macaulay Library
42,coyote_74.wav,3,coyote,1,Macaulay Library
43,coyote_77.wav,3,coyote,1,Macaulay Library
44,coyote_78.wav,3,coyote,1,Macaulay Library
45,coyote_82.wav,3,coyote,1,Macaulay Library
46,coyote_83.wav,3,coyote,1,Macaulay Library
47,coyote_84.wav,3,coyote,1,Macaulay Library
48,coyote_86.wav,3,coyote,1,Macaulay Library
49,coyote_87.wav,3,coyote,1,Macaulay Library
50,coyote_88.wav,3,coyote,1,Macaulay Library
51,coyote_90.wav,3,coyote,1,Macaulay Library
52,coyote_92.wav,3,coyote,1,Macaulay Library
53,coyote_93.wav,3,coyote,1,Macaulay Library
54,coyote_94.wav,3,coyote,1,Macaulay Library
55,coyote_95.wav,3,coyote,1,Macaulay Library
56,coyote_97.wav,3,coyote,1,Macaulay Library
57,coyote_98.wav,3,coyote,1,Macaulay Library
58,coyote_99.wav,3,coyote,1,Macaulay Library
59,coyote_102.wav,3,coyote,1,Macaulay Library
60,coyote_103.wav,3,coyote,1,Macaulay Library
61,coyote_104.wav,3,coyote,1,Macaulay Library
62,coyote_107.wav,3,coyote,1,Macaulay Library
63,coyote_109.wav,3,coyote,1,Macaulay Library
64,coyote_111.wav,3,coyote,1,Macaulay Library
65,coyote_114.wav,3,coyote,1,Macaulay Library
66,coyote_115.wav,3,coyote,1,Macaulay Library
67,coyote_116.wav,3,coyote,1,Macaulay Library
68,coyote_117.wav,3,coyote,1,Macaulay Library
69,coyote_120.wav,3,coyote,1,Macaulay Library
70,coyote_121.wav,3,coyote,1,Macaulay Library
71,coyote_123.wav,3,coyote,1,Macaulay Library
72,coyote_126.wav,3,coyote,1,Macaulay Library
73,coyote_128.wav,3,coyote,1,Macaulay Library
74,coyote_129.wav,3,coyote,1,Macaulay Library
75,coyote_130.wav,3,coyote,1,Macaulay Library
76,coyote_131.wav,3,coyote,1,Macaulay Library
77,coyote_132.wav,3,coyote,1,Macaulay Library
78,coyote_133.wav,3,coyote,1,Macaulay Library
79,coyote_135.wav,3,coyote,1,Macaulay Library
80,coyote_136.wav,3,coyote,1,Macaulay Library
81,coyote_137.wav,3,coyote,1,Macaulay Library
82,coyote_140.wav,3,coyote,1,Macaulay Library
83,coyote_141.wav,3,coyote,1,Macaulay Library
84,coyote_142.wav,3,coyote,1,Macaulay Library
85,coyote_144.wav,3,coyote,1,Macaulay Library
86,coyote_145.wav,3,coyote,1,Macaulay Library
87,coyote_147.wav,3,coyote,1,Macaulay Library
88,coyote_149.wav,3,coyote,1,Macaulay Library
89,coyote_150.wav,3,coyote,1,Macaulay Library
90,coyote_152.wav,3,coyote,1,Macaulay Library
91,coyote_157.wav,3,coyote,1,Macaulay Library
92,coyote_159.wav,3,coyote,1,Macaulay Library
93,coyote_160.wav,3,coyote,1,Macaulay Library
94,coyote_162.wav,3,coyote,1,Macaulay Library
95,coyote_165.wav,3,coyote,1,Macaulay Library
96,coyote_167.wav,3,coyote,1,Macaulay Library
97,coyote_168.wav,3,coyote,1,Macaulay Library
98,coyote_170.wav,3,coyote,1,Macaulay Library
99,coyote_171.wav,3,coyote,1,Macaulay Library
100,coyote_172.wav,3,coyote,1,Macaulay Library
101,coyote_175.wav,3,coyote,1,Macaulay Library
102,coyote_176.wav,3,coyote,1,Macaulay Library
103,coyote_177.wav,3,coyote,1,Macaulay Library
104,coyote_178.wav,3,coyote,1,Macaulay Library
105,coyote_182.wav,3,coyote,1,Macaulay Library
106,coyote_183.wav,3,coyote,1,Macaulay Library
107,coyote_185.wav,3,coyote,1,Macaulay Library
108,coyote_188.wav,3,coyote,1,Macaulay Library
109,coyote_189.wav,3,coyote,1,Macaulay Library
110,coyote_192.wav,3,coyote,1,Macaulay Library
111,coyote_193.wav,3,coyote,1,Macaulay Library
112,coyote_194.wav,3,coyote,1,Macaulay Library
113,coyote_195.wav,3,coyote,1,Macaulay Library
114,coyote_196.wav,3,coyote,1,Macaulay Library
115,coyote_198.wav,3,coyote,1,Macaulay Library
116,coyote_201.wav,3,coyote,1,Macaulay Library
117,coyote_202.wav,3,coyote,1,Macaulay Library
118,coyote_203.wav,3,coyote,1,Macaulay Library
119,coyote_204.wav,3,coyote,1,Macaulay Library
120,coyote_205.wav,3,coyote,1,Macaulay Library
121,coyote_207.wav,3,coyote,1,Macaulay Library
122,coyote_208.wav,3,coyote,1,Macaulay Library
123,coyote_213.wav,3,coyote,1,Macaulay Library
124,coyote_217.wav,3,coyote,1,Macaulay Library
125,coyote_218.wav,3,coyote,1,Macaulay Library
126,coyote_219.wav,3,coyote,1,Macaulay Library
127,coyote_220.wav,3,coyote,1,Macaulay Library
128,coyote_221.wav,3,coyote,1,Macaulay Library
129,coyote_222.wav,3,coyote,1,Macaulay Library
130,coyote_224.wav,3,coyote,1,Macaulay Library
131,coyote_226.wav,3,coyote,1,Macaulay Library
132,coyote_227.wav,3,coyote,1,Macaulay Library
133,coyote_229.wav,3,coyote,1,Macaulay Library
134,coyote_230.wav,3,coyote,1,Macaulay Library
135,coyote_233.wav,3,coyote,1,Macaulay Library
136,coyote_235.wav,3,coyote,1,Macaulay Library
137,coyote_236.wav,3,coyote,1,Macaulay Library
138,coyote_237.wav,3,coyote,1,Macaulay Library
139,coyote_238.wav,3,coyote,1,Macaulay Library
140,coyote_239.wav,3,coyote,1,Macaulay Library
141,coyote_240.wav,3,coyote,1,Macaulay Library
142,coyote_242.wav,3,coyote,1,Macaulay Library
143,coyote_246.wav,3,coyote,1,Macaulay Library
144,coyote_247.wav,3,coyote,1,Macaulay Library
145,coyote_248.wav,3,coyote,1,Macaulay Library
146,coyote_249.wav,3,coyote,1,Macaulay Library
147,coyote_251.wav,3,coyote,1,Macaulay Library
148,coyote_253.wav,3,coyote,1,Macaulay Library
149,coyote_254.wav,3,coyote,1,Macaulay Library
150,coyote_255.wav,3,coyote,1,Macaulay Library
151,coyote_256.wav,3,coyote,1,Macaulay Library
152,coyote_257.wav,3,coyote,1,Macaulay Library
153,coyote_259.wav,3,coyote,1,Macaulay Library
154,coyote_260.wav,3,coyote,1,Macaulay Library
155,coyote_261.wav,3,coyote,1,Macaulay Library
156,coyote_263.wav,3,coyote,1,Macaulay Library
157,coyote_264.wav,3,coyote,1,Macaulay Library
158,coyote_267.wav,3,coyote,1,Macaulay Library
159,coyote_268.wav,3,coyote,1,Macaulay Library
160,coyote_270.wav,3,coyote,1,Macaulay Library
161,coyote_271.wav,3,coyote,1,Macaulay Library
162,coyote_272.wav,3,coyote,1,Macaulay Library
